,Item,Naive,SES,Arima,Basic LSTM,Stacked LSTM,RNN,GRU
0,AK-47 | Gold Arabesque (Battle-Scarred),13.897308434122394,11.068805653867294,11.131940066760226,22.306886102895074,11.204607576406294,20.000498114657255,14.918421488454404
1,AK-47 | Gold Arabesque (Field-Tested),5.768597951293455,5.464066940197127,5.464077963946752,5.989755581147535,6.538124095938649,5.935483598057959,5.522923535302167
2,AK-47 | Gold Arabesque (Minimal Wear),6.215861360688538,6.31278306449652,7.098724892607987,10.760553558190708,8.582510139716284,9.765162410833632,8.566296263878511
3,AK-47 | Jet Set (Factory New),63.22862869242252,49.85201389077343,49.12480490707265,40.2123793459089,71.36708748788736,63.63320859398548,50.782053363419756
4,AK-47 | Nightwish (Factory New),14.047993775879096,14.032067883811841,7.189066587555322,18.90866208114402,9.408734597210891,13.86497400986173,13.750194512652028
5,AK-47 | Nightwish (Minimal Wear),12.23355098887255,12.233551007029257,9.742007369749551,16.943290897804435,9.330902517380636,12.268937105509716,15.46277281619468
6,AK-47 | Panthera onca (Battle-Scarred),12.407036252671508,12.237851985609385,12.230669263593027,14.585307872310873,14.340836728706217,13.399069961305146,15.382044438936882
7,AK-47 | Panthera onca (Factory New),8.748469155476577,7.819087155753163,7.909664007061293,8.344957121295753,8.421893672820657,12.061169403719653,8.063476764228794
8,AK-47 | Panthera onca (Minimal Wear),8.372834480914005,8.632823240928417,8.633567179052742,13.84608360307584,12.784201366845537,11.119517875039538,11.868411162316798
9,AK-47 | Panthera onca (Well-Worn),9.189594245782137,6.9107774894533165,6.90982733076463,12.059297121891372,8.246458862373913,7.525142175706919,9.55393427131909
10,AK-47 | X-Ray (Battle-Scarred),6.5939340484704845,12.59623557589302,12.518013399813253,41.26709291947664,35.54995813367556,17.49247947317946,5.641647930092224
11,AK-47 | X-Ray (Field-Tested),14.65179539956831,17.375059771198025,17.34262240199614,42.64482785821885,47.50278737905082,28.51162531335463,31.66014999228317
12,AK-47 | X-Ray (Well-Worn),12.868029508120319,41.12050190275689,59.59358484605957,13.391900146443003,10.076406571504377,14.645939548656848,14.421085558793175
13,AUG | Akihabara Accept (Minimal Wear),33.302080720750716,32.201211761179785,31.975916818775122,16.60952648335739,28.399595214416223,18.91355276175405,6.082038365536661
14,AUG | Flame Jörmungandr (Battle-Scarred),36.91823824381454,43.128159356710015,35.82400419976888,68.91385209632845,65.6462347665904,73.02601079692577,64.22285720250949
15,AUG | Midnight Lily (Minimal Wear),17.793179451458915,15.658496382547357,23.283794727340474,13.003809033969418,9.118219129969752,34.12488614884478,8.506202931769522
16,AWP | Desert Hydra (Field-Tested),6.825188341837166,7.664488832468732,7.663118237769331,6.150564287779814,6.37793045005283,7.1099416638402255,6.631611266165358
17,AWP | Fade (Factory New),5.414881994746383,5.457079938057791,5.5726212160554915,5.843592799938157,6.132627101748872,6.084747307537522,6.628053269384184
18,AWP | Silk Tiger (Battle-Scarred),123.6259142996676,80.91193849637632,81.62697789289822,53.445067470112065,43.31128116867815,56.99079599216484,57.02880195950999
19,AWP | Silk Tiger (Factory New),5.090808336476088,5.291470382879184,5.29084385595319,5.678075567840934,4.212786241823305,5.232108830499101,6.307554752616907
20,AWP | Silk Tiger (Minimal Wear),6.370462722706311,5.731129016983356,5.595922981398929,11.356031547954753,6.025128855264874,9.890050139723193,14.876151789498516
21,AWP | Silk Tiger (Well-Worn),13.723822712658732,19.3127876457447,19.269183839772175,39.01980354191787,73.81373988849046,48.2389041136579,50.243102743553315
22,Desert Eagle | Fennec Fox (Battle-Scarred),19.943078823932876,15.354112970806677,14.416841179946006,12.179472317684093,9.785232265774649,13.029902410613083,10.600336320092888
23,Desert Eagle | Fennec Fox (Factory New),4.148659592451585,5.1235183358046585,5.1077928864189035,16.09137957773852,10.712047859923189,8.809325612691689,11.433318600814381
24,Desert Eagle | Fennec Fox (Minimal Wear),14.960131556733012,9.04807699632631,10.75774559976549,7.823156327382384,10.296184939560444,8.780636240413962,7.70143795957827
25,DreamHack 2014 Nuke Souvenir Package,45.97013992866077,38.26758415120537,37.54355562669123,117.56102669109772,29.11879233268094,40.067897945717995,114.70156168799744
26,Five-SeveN | Fall Hazard (Field-Tested),10.146816254842077,10.283829730894013,10.635891077916908,14.593069090579254,14.13807013479843,12.511125896295813,13.247328755050653
27,Five-SeveN | Fall Hazard (Minimal Wear),9.967840532347347,9.794684275810894,9.85263925905179,10.954716078468095,9.974375337086634,10.921192009584653,9.910845561145276
28,Five-SeveN | Neon Kimono (Well-Worn),87.7315668201461,94.45295789977922,100.70479706312759,94.55023029040468,95.41643659000214,94.72413263732561,93.64443583847229
29,G3SG1 | Chronos (Well-Worn),75.04581646225007,84.19020796157031,74.92580142882626,68.37899119882518,67.30447568853593,68.91156790781176,67.87309049271411
30,M4A1-S | Welcome to the Jungle (Battle-Scarred),11.356555681865935,10.290623766008018,11.140733346234722,11.029721498944383,10.339576397550118,10.258546478045256,10.183767952065581
31,M4A1-S | Welcome to the Jungle (Field-Tested),20.52646023075319,9.896234889101768,9.458154009732603,26.887819605821154,11.97690918001257,11.149241351899008,10.709678548351233
32,M4A1-S | Welcome to the Jungle (Well-Worn),15.076322876986634,12.132833036255882,12.40108754801459,14.467513783725884,86.04041080295045,17.283568833752526,14.388392741785696
33,M4A4 | In Living Color (Factory New),12.72237457174743,12.72237460209397,14.910766537289629,17.202697422199726,19.987788940772504,19.747496404829946,18.74649660908075
