,Item,SES,Arima,Basic LSTM,Stacked LSTM,RNN,GRU
0,AK-47 | Gold Arabesque (Battle-Scarred),0.6644353258468665,0.6607141881672909,2.2780283383044755,0.8814123585651266,1.7484423783329348,1.2578773333579043
1,AK-47 | Gold Arabesque (Field-Tested),0.629351323739416,0.5231126122560702,0.7742594578691874,0.9724893488585953,0.9323597336955731,0.8961212662173158
2,AK-47 | Gold Arabesque (Minimal Wear),1.1294333149358693,1.3013702525103885,2.2714831398357713,1.281181253646327,1.7963780227111996,1.1309665477537405
3,AK-47 | Jet Set (Factory New),0.8041518600285036,0.7921078375421283,0.60185872762924,1.0977848390329927,1.0008743710375927,0.8153476369271812
4,AK-47 | Nightwish (Factory New),0.9992640917342014,0.4049588079539406,1.7105239668429528,0.5699597835394073,0.930342022441227,0.9922678906359138
5,AK-47 | Nightwish (Minimal Wear),1.0000000020511808,0.7963175924118548,1.4762199979149417,0.6699808659458731,0.8187705156308458,1.102672850751415
6,AK-47 | Panthera onca (Battle-Scarred),0.687360109639859,0.84934589029693,1.3439007722581173,1.5747327797482182,0.9942446634428354,1.6464207612100328
7,AK-47 | Panthera onca (Factory New),1.3629305261177327,1.399663654482457,1.6923000960724868,1.526788596066849,2.426178728116184,1.5063025790842546
8,AK-47 | Panthera onca (Minimal Wear),1.0490036949701609,1.0491117598335173,1.6592449412818984,1.395914497621058,1.2667014039595619,1.3614200889152508
9,AK-47 | Panthera onca (Well-Worn),0.40193047223107153,0.4006074682101946,1.4979029072235501,0.7780585279748448,0.6658170429536766,1.0158676430015827
10,AK-47 | X-Ray (Battle-Scarred),2.2500132924598866,2.24614403339506,10.614200148619862,8.653228320535197,2.727565495237444,0.7085110792984805
11,AK-47 | X-Ray (Field-Tested),1.2944377187010876,1.2909141722762778,3.8421191031839586,4.627270240543353,2.1168560255808795,2.6916030876190606
12,AK-47 | X-Ray (Well-Worn),4.039701889566737,5.54966569283262,1.248783320416373,0.7526954345189767,1.1492940885045446,1.4331442300290076
13,AUG | Akihabara Accept (Minimal Wear),0.9481827968584894,0.9051471924137197,0.4271258220518242,0.8033211839303289,0.598694363580692,0.18134874486355654
14,AUG | Flame Jörmungandr (Battle-Scarred),1.1888086919752663,1.1558841678043752,2.778698740782237,2.230995394514248,2.9120183073639843,2.431820639471482
15,AUG | Midnight Lily (Minimal Wear),0.8918285762539939,1.3940615332686304,0.8534157062564419,0.4603857561709032,2.3769422707795527,0.42344338595208136
16,AWP | Desert Hydra (Field-Tested),1.0070701714155297,1.0102153466308814,0.6070923352405162,0.8402491015818095,1.084211292748375,0.9231852782884398
17,AWP | Fade (Factory New),1.1417186510136919,1.2941621346030643,1.6174122660168666,1.4086152996144148,1.715988736988021,1.956838376805535
18,AWP | Silk Tiger (Battle-Scarred),0.4167463070041882,0.42305334300828906,0.21480501633745164,0.16530177735599594,0.23147191268438716,0.24186911328537955
19,AWP | Silk Tiger (Factory New),1.2397841901899724,1.2390158740825077,1.478436643555836,0.8810334776357492,1.1563303176137731,1.5902690065822962
20,AWP | Silk Tiger (Minimal Wear),1.2555868457925279,1.1612184065628222,2.4613312543558994,1.3147316091299213,2.2192198385080255,3.8526983061473166
21,AWP | Silk Tiger (Well-Worn),2.1456106553187695,2.1401044485625196,5.666113164068948,13.913974521495549,6.979473479807407,7.971004689835433
22,Desert Eagle | Fennec Fox (Battle-Scarred),0.6581138003803085,0.7249687904489049,0.6500010872560228,0.4867097690620545,0.585493110210087,0.5318938698073536
23,Desert Eagle | Fennec Fox (Factory New),2.157219559195318,2.1468396077233485,8.348598771968113,4.848360996480008,3.7497357643441283,5.49000250218905
24,Desert Eagle | Fennec Fox (Minimal Wear),0.5561112865001195,0.720205966420207,0.45880158100963436,0.6568124782682778,0.52541673696433,0.4031278631231047
25,DreamHack 2014 Nuke Souvenir Package,0.7414420500419141,0.6918893748114068,2.4451001994657227,0.5802798050683101,0.6862506120117523,2.3926099709606437
26,Five-SeveN | Fall Hazard (Field-Tested),0.7414186965983197,0.7690189490128816,1.6044699016221973,1.781884373636994,1.3431396911779683,1.6066904949195084
27,Five-SeveN | Fall Hazard (Minimal Wear),0.8818171321333232,0.9053177277522887,1.4196839311158016,1.0410417037267032,1.368588363347846,0.9260520014267121
28,Five-SeveN | Neon Kimono (Well-Worn),1.3412246037119568,1.569868663456611,1.3901404302778406,1.4411929535042722,1.4098250991225114,1.252560969221341
29,G3SG1 | Chronos (Well-Worn),1.2541476160924465,0.9813304504146264,0.791515058001531,0.733376124578948,0.8377766812334368,0.7538763895690839
30,M4A1-S | Welcome to the Jungle (Battle-Scarred),1.0165151132295838,1.177233852820019,1.1477642510292108,1.0876216596399388,0.8183817860921108,0.9344697161108352
31,M4A1-S | Welcome to the Jungle (Field-Tested),0.3446380349891259,0.27051999515426306,0.951538347548367,0.48611968582795434,0.3810983576531404,0.4079424386243785
32,M4A1-S | Welcome to the Jungle (Well-Worn),0.8305554476115764,0.851033833613597,1.097065207004517,4.9344273113684345,1.4219184182093945,1.0968055333716848
33,M4A4 | In Living Color (Factory New),1.0000000027159022,1.2225160905255446,1.4725606375020313,1.7226672233947855,1.7682997305425872,1.614730248714536
34,M4A4 | Modern Hunter (Factory New),1.2255167422025712,0.6104245260135205,1.2018094904686942,1.2695579865134112,1.1806409721477638,0.7970117220388646
35,MAC-10 | Hot Snakes (Battle-Scarred),1.2722115466026707,1.2031608942566285,9.210509023594081,11.942357646130699,3.92328157532138,5.749293013736357
